Sujet,Bloc,Stim,Hits,FA,Miss,RC,RT,Similarity,m_ppo,m_td,m_iti,t_pi,T.Rate,t_td,m_density,Uncertainty
1,3,mask_ppo_4_td_01_target_fq_489_td_002_r_10,1,0,0,0,1147.0,80.0,4.0,0.1,1500.0,489.0,10.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_01_target_fq_699_td_002_r_10,1,0,0,0,1217.0,80.0,4.0,0.1,1500.0,699.0,10.0,0.02,1.0,29.0
1,3,mask_ppo_64_td_002,0,1,0,0,1822.0,,64.0,0.02,1500.0,,,,18.0,463.0
1,3,mask_ppo_64_td_002_target_fq_1000_td_002_r_20,1,0,0,0,944.0,0.0,64.0,0.02,1500.0,1000.0,20.0,0.02,18.0,463.0
1,3,mask_ppo_64_td_002_target_fq_1430_td_002_r_20,1,0,0,0,3622.0,0.0,64.0,0.02,1500.0,1430.0,20.0,0.02,18.0,463.0
1,3,mask_ppo_64_td_002_target_fq_699_td_002_r_5,1,0,0,0,1594.0,0.0,64.0,0.02,1500.0,699.0,5.0,0.02,18.0,463.0
1,3,mask_ppo_64_td_004,0,1,0,0,897.0,,64.0,0.04,1500.0,,,,18.0,463.0
1,3,mask_ppo_64_td_006,0,1,0,0,3536.0,,64.0,0.06,1500.0,,,,19.0,463.0
1,3,mask_ppo_64_td_006_target_fq_1000_td_002_r_10,1,0,0,0,3292.0,40.0,64.0,0.06,1500.0,1000.0,10.0,0.02,19.0,463.0
1,3,mask_ppo_64_td_006_target_fq_2045_td_002_r_20,1,0,0,0,1140.0,40.0,64.0,0.06,1500.0,2045.0,20.0,0.02,19.0,463.0
1,3,mask_ppo_64_td_006_target_fq_489_td_002_r_5,1,0,0,0,3614.0,40.0,64.0,0.06,1500.0,489.0,5.0,0.02,19.0,463.0
1,3,mask_ppo_64_td_01,0,0,0,1,0.0,,64.0,0.1,1500.0,,,,19.0,463.0
1,3,mask_ppo_64_td_01_target_fq_1000_td_002_r_10,0,0,1,0,0.0,80.0,64.0,0.1,1500.0,1000.0,10.0,0.02,19.0,463.0
1,3,mask_ppo_64_td_01_target_fq_2045_td_002_r_20,0,0,1,0,0.0,80.0,64.0,0.1,1500.0,2045.0,20.0,0.02,19.0,463.0
1,4,mask_ppo_16_td_002,0,1,0,0,1272.0,,16.0,0.02,1500.0,,,,4.0,115.0
1,4,mask_ppo_16_td_002_target_fq_1000_td_002_r_5,1,0,0,0,1449.0,0.0,16.0,0.02,1500.0,1000.0,5.0,0.02,4.0,115.0
1,4,mask_ppo_16_td_002_target_fq_2045_td_002_r_5,1,0,0,0,1533.0,0.0,16.0,0.02,1500.0,2045.0,5.0,0.02,4.0,115.0
1,4,mask_ppo_16_td_004,0,1,0,0,4152.0,,16.0,0.04,1500.0,,,,5.0,115.0
1,4,mask_ppo_16_td_006,0,1,0,0,2804.0,,16.0,0.06,1500.0,,,,5.0,115.0
1,4,mask_ppo_16_td_006_target_fq_1000_td_002_r_5,1,0,0,0,2401.0,40.0,16.0,0.06,1500.0,1000.0,5.0,0.02,5.0,115.0
1,4,mask_ppo_16_td_006_target_fq_1430_td_002_r_10,1,0,0,0,1787.0,40.0,16.0,0.06,1500.0,1430.0,10.0,0.02,5.0,115.0
1,4,mask_ppo_16_td_006_target_fq_2924_td_002_r_10,1,0,0,0,2127.0,40.0,16.0,0.06,1500.0,2924.0,10.0,0.02,5.0,115.0
1,4,mask_ppo_16_td_006_target_fq_699_td_002_r_5,1,0,0,0,1234.0,40.0,16.0,0.06,1500.0,699.0,5.0,0.02,5.0,115.0
1,4,mask_ppo_16_td_01,0,1,0,0,1557.0,,16.0,0.1,1500.0,,,,5.0,115.0
1,4,mask_ppo_16_td_01_target_fq_1430_td_002_r_10,1,0,0,0,5866.0,80.0,16.0,0.1,1500.0,1430.0,10.0,0.02,5.0,115.0
1,4,mask_ppo_16_td_01_target_fq_2045_td_002_r_5,0,0,1,0,0.0,80.0,16.0,0.1,1500.0,2045.0,5.0,0.02,5.0,115.0
1,4,mask_ppo_16_td_01_target_fq_2924_td_002_r_20,1,0,0,0,1646.0,80.0,16.0,0.1,1500.0,2924.0,20.0,0.02,5.0,115.0
1,4,mask_ppo_16_td_01_target_fq_489_td_002_r_20,1,0,0,0,1089.0,80.0,16.0,0.1,1500.0,489.0,20.0,0.02,5.0,115.0
1,4,mask_ppo_4_td_002,0,1,0,0,2030.0,,4.0,0.02,1500.0,,,,1.0,29.0
1,4,mask_ppo_4_td_002_target_fq_1000_td_002_r_10,1,0,0,0,2350.0,0.0,4.0,0.02,1500.0,1000.0,10.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_002_target_fq_2045_td_002_r_20,1,0,0,0,1591.0,0.0,4.0,0.02,1500.0,2045.0,20.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_004,0,1,0,0,902.0,,4.0,0.04,1500.0,,,,1.0,29.0
1,4,mask_ppo_4_td_006,0,1,0,0,3726.0,,4.0,0.06,1500.0,,,,1.0,29.0
1,4,mask_ppo_4_td_006_target_fq_1430_td_002_r_20,1,0,0,0,1775.0,40.0,4.0,0.06,1500.0,1430.0,20.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_006_target_fq_2924_td_002_r_10,1,0,0,0,2551.0,40.0,4.0,0.06,1500.0,2924.0,10.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_006_target_fq_699_td_002_r_10,1,0,0,0,1292.0,40.0,4.0,0.06,1500.0,699.0,10.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_008,0,1,0,0,1473.0,,4.0,0.08,1500.0,,,,1.0,29.0
1,4,mask_ppo_4_td_01,0,1,0,0,3596.0,,4.0,0.1,1500.0,,,,1.0,29.0
1,4,mask_ppo_4_td_01_target_fq_1430_td_002_r_10,1,0,0,0,1341.0,80.0,4.0,0.1,1500.0,1430.0,10.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_01_target_fq_2924_td_002_r_10,1,0,0,0,1118.0,80.0,4.0,0.1,1500.0,2924.0,10.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_01_target_fq_489_td_002_r_20,1,0,0,0,1578.0,80.0,4.0,0.1,1500.0,489.0,20.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_01_target_fq_699_td_002_r_20,1,0,0,0,1141.0,80.0,4.0,0.1,1500.0,699.0,20.0,0.02,1.0,29.0
1,4,mask_ppo_64_td_002,0,1,0,0,854.0,,64.0,0.02,1500.0,,,,18.0,463.0
1,4,mask_ppo_64_td_002_target_fq_1000_td_002_r_10,0,0,1,0,0.0,0.0,64.0,0.02,1500.0,1000.0,10.0,0.02,18.0,463.0
1,4,mask_ppo_64_td_002_target_fq_2045_td_002_r_5,1,0,0,0,1647.0,0.0,64.0,0.02,1500.0,2045.0,5.0,0.02,18.0,463.0
1,4,mask_ppo_64_td_002_target_fq_489_td_002_r_20,1,0,0,0,8520.0,0.0,64.0,0.02,1500.0,489.0,20.0,0.02,18.0,463.0
1,4,mask_ppo_64_td_004,0,1,0,0,7178.0,,64.0,0.04,1500.0,,,,18.0,463.0
1,4,mask_ppo_64_td_006,0,1,0,0,1683.0,,64.0,0.06,1500.0,,,,19.0,463.0
1,4,mask_ppo_64_td_006_target_fq_1000_td_002_r_20,1,0,0,0,3060.0,40.0,64.0,0.06,1500.0,1000.0,20.0,0.02,19.0,463.0
1,4,mask_ppo_64_td_006_target_fq_2924_td_002_r_5,1,0,0,0,1569.0,40.0,64.0,0.06,1500.0,2924.0,5.0,0.02,19.0,463.0
